07/13/2023,OPEN ACCOUNT        ,0.00,,0.00
07/13/2023,TD ATM DEP    001196,,20.00,20.00
07/17/2023,E-TRANSFER ***32A   ,,20.00,40.00
07/17/2023,E-TRANSFER ***rQr   ,,14.68,54.68
07/18/2023,AMZN Mktp CA      _V,29.36,,25.32
07/24/2023,E-TRANSFER ***baQ   ,,67.00,92.32
07/25/2023,E-TRANSFER ***Sk8   ,,100.00,192.32
07/25/2023,Amazon.ca     6.20_V,6.20,,186.12
07/26/2023,E-TRANSFER ***p2q   ,,100.00,286.12
07/27/2023,MARSHALLS 703     _F,33.88,,252.24
07/31/2023,McDonalds 10188   _V,1.05,,251.19
07/31/2023,HUB CLIMBING MA   _F,31.92,,219.27
07/31/2023,WENDY'S #6306 A   _V,2.40,,216.87
07/31/2023,UBER CANADA/UBE   _V,8.90,,207.97
07/31/2023,E-TRANSFER ***ChY   ,,8.90,216.87
07/31/2023,UBER CANADA/UBE   _V,2.00,,214.87
07/31/2023,McDonalds 10188   _V,3.35,,211.52
07/31/2023,SEND E-TFR ***fAE   ,4.00,,207.52
08/01/2023,UBER CAN REV 07/31_V,,8.90,216.42
08/01/2023,UBER CANADA/UBE   _V,6.90,,209.52
08/01/2023,McDonalds 10188   _V,1.05,,208.47
08/01/2023,AMZN Mktp CA      _V,20.34,,188.13
08/01/2023,CINEPLEX #7253    _F,5.77,,182.36
08/02/2023,McDonalds 10188   _V,6.77,,175.59
08/02/2023,CINEPLEX #7253    _F,4.20,,171.39
08/03/2023,CINEPLEX #7253    _F,5.07,,166.32
08/04/2023,E-TRANSFER ***8M2   ,,100.00,266.32
08/04/2023,LGC*UBER GIFTCA   _V,25.00,,241.32
08/08/2023,E-TRANSFER ***eYP   ,,100.00,341.32
08/08/2023,McDonalds 10188   _V,1.05,,340.27
08/08/2023,McDonalds 10188   _V,5.64,,334.63
08/08/2023,CHICKEN KITCHEN     ,10.15,,324.48
08/08/2023,CINEPLEX #7253    _F,2.89,,321.59
08/08/2023,CINEPLEX #7253    _F,4.20,,317.39
08/08/2023,AMZN Mktp CA      _V,16.92,,300.47
08/08/2023,MCDONALD'S #101   _M,6.22,,294.25
08/08/2023,WENDY'S RESTAUR   _V,2.08,,292.17
08/14/2023,CINEPLEX #7253    _M,2.21,,289.96
08/14/2023,McDonalds 29006   _V,1.05,,288.91
08/14/2023,DOLLARAMA #0994   _M,4.52,,284.39
08/14/2023,DOLLARAMA # 447   _M,1.13,,283.26
08/14/2023,CINEPLEX #7253    _M,2.89,,280.37
08/14/2023,SCARBORO TOWN C   _V,1.05,,279.32
08/14/2023,DOLLARAMA # 270   _M,1.13,,278.19
08/15/2023,E-TRANSFER ***h9b   ,,100.00,378.19
08/15/2023,Youth Offer      MSP,,10.00,388.19
08/16/2023,CINEPLEX #7253    _M,3.15,,385.04
08/16/2023,ORIENTAL FOOD M   _M,2.10,,382.94
08/16/2023,TIM HORTONS #72   _V,3.15,,379.79
08/16/2023,DOLLARAMA # 447   _M,1.13,,378.66
08/17/2023,CINEPLEX #7253    _M,2.89,,375.77
08/17/2023,McDonalds 10188   _V,5.63,,370.14
08/17/2023,DOLLARAMA # 447   _M,1.13,,369.01
08/18/2023,PHO QUINN         _M,18.85,,350.16
08/18/2023,McDonalds 10188   _V,3.41,,346.75
08/21/2023,CINEPLEX #7253    _M,3.15,,343.60
08/21/2023,CINEPLEX #7253    _M,4.20,,339.40
08/21/2023,CINEPLEX #7253    _M,3.38,,336.02
08/21/2023,CINEPLEX #7253    _M,2.21,,333.81
08/21/2023,GOBILDA     147.94_V,207.90,,125.91
08/21/2023,McDonalds 10188   _V,3.35,,122.56
08/22/2023,DOLLARAMA # 447   _M,1.13,,121.43
08/22/2023,CINEPLEX #7253    _M,4.20,,117.23
08/23/2023,TIM HORTONS #72   _M,8.98,,108.25
08/23/2023,McDonalds 29006   _V,5.09,,103.16
